id,created_at,updated_at,description,category_id,price,type_of_post,animal_id,user_id,title,user_position,,,
0,2019-08-01 14:28:03,2019-08-01 14:28:03,"Les bébés de Yoko de la Jassette du cap del mas et Massaî des Lumières d'Automne,sont nés le 31 mars, tout le monde se porte bien, Yoko est toujours u (... voir la suite)",1,25,1,416,7366,Bébés picards à réserver,ondamente 12540,,,
1,2019-01-06 02:28:08,2019-01-06 02:28:08,"Nés le 5 mars 6 chatons bleus seront disponibles début juin. Papa triple champion Mâles 1100€ femelles 1300€ OBLIGATOIREMENT accueillis par des personnes responsables qui s engageront à leur donner tout l amour et les soins qui leur seront nécessaires.

Pas de vente aux éleveurs .Stérilisation obligatoire!
 Pucés,  vaccinés( primo + rappel) vermifugés inscrits au LOOF, Ils partiront avec un certificat de vente et un certificat de bonne santé établit par un vétérinaire.
Nous sommes passionnés par le British shorthair depuis plus de 20 ans. Notre élevage familial: Chatterie of blue shadow, situé en Charente maritime, fait naître peu de portées dans l année.Nos chats vivent à la maison, pas de cages ni pièce réservée...Les parents sont testés FIV/FELV.les chatons vivent une vie de famille et quittent la maison vers 12 semaines ils sont propres et ont reçu tous les soins et l amour dont ils ont besoin. Chaque chaton à son caractère mais ils sont généralement joueurs et câlins. Ils sont pucés  vaccinés ils partent avec un kit chaton .Nous assurons un suivi durant toute la vie de nos bébés.Merci de nous contacter pour connaître les disponibilités; LOOF ou non
Nous répondons à tous les messages (sérieux...)envoie de photos sur demande. Visites bienvenues
N° SIRET 328.996.871
N°Certificat de capacité17-049",1,41,1,1192,2981,Magnifiques chatons british shorthair,Rioux 17460,,,
5,2019-02-20 16:56:30,2019-02-20 16:56:30,"Chatterie du flocon du maine Jolis chatons Maine Coon nés le 14/03/2020 Élevés en Famille, ce sont des chatons équilibrés et choyés . * Un c (... voir la suite)",1,19,1,455,2666,Chatons maine coon,Doizieux 42740,,,
6,2019-03-13 20:13:39,2019-03-13 20:13:39,Bébés shih stzu LOF Excellentes origines. Pucé vacciné +passeport+cbs Me contacter pour plus de renseignements uniquement par téléphone. (... voir la suite),1,11,1,586,5259,Bebes shih tzu lof,Charolles 71120,,,
10,2019-07-11 07:03:44,2019-07-11 07:03:44,Bienvenue au Manoir des Anges Nous sommes situés au cœur de La Sarthe à 30mn des 24h du Mans. Nous élevons des dobermanns depuis une 20e d'années. (... voir la suite),1,28,1,1370,3711,Superbes chiots dobermann lof,Pruillé-l'eguillé 72150,,,
12,2019-08-14 08:18:15,2019-08-14 08:18:15,La petite femelle ROBERTA cherche sa nouvelle famille pour être aimée et chouchoutée.( Ne serra pas confiée pour la reproduction) .Une petite poupett (... voir la suite),1,8,1,882,3815,Chaton maine coon loof,Cauneille 40300,,,
15,2019-06-14 14:43:23,2019-06-14 14:43:23,Rihana (originale avec ses 3 socquettes blanches) et Roméo sont disponibles à la réservation parents 24 cm (nains) Elevés en famille et habitués aux (... voir la suite),1,37,1,1649,5424,Chiots lof à réserver,Arbigny-sous-varennes 52500,,,
17,2019-01-31 08:08:05,2019-01-31 08:08:05,Sur une portée de 2 chatons British longhair reste disponible un petit mâle red tabby. Il aura bien sûr un pedigree LOOF. Il sera vacciné typhus (... voir la suite),1,10,1,1527,4771,Chaton british longhair,Colombes 92700,,,
20,2019-04-08 21:53:28,2019-04-08 21:53:28,"A réserver splendides chiots Jack Russell inscrits au lof nés le 16 Mars 2020 Ils seront pucés, vaccinés, vermifugés, inscrits au Lof et disponibles (... voir la suite)",1,34,1,42,6751,Splendides chiots jack russell inscrits au lof,Saint-vincent-sur-jabron 04200,,,
21,2019-02-03 11:04:16,2019-02-03 11:04:16,"Disponible Femelle Maine Coon Bleue Tortie LOOF née le 30.01.2020 Livraison possible UNIQUEMENT Départements 32 , 31 , 81 , 65 , 47 , 19 et 33 le (... voir la suite)",1,11,1,1764,6767,"Dernière femelle maine coon loof , paiement 4x/livraison",Callian 32190,,,
25,2019-02-03 11:51:27,2019-02-03 11:51:27,"Nés hier, en plein confinement, 4 bébés apparence yorkshire terriers, père LOF, nés le 31/03/2020, nés en France, chez nous à Cannes. Ils ne seront (... voir la suite)",1,30,1,1293,6067,Apparence yorkshire terriers,Non L.O.F.Cannes-la-bocca 06150,,,
26,2019-04-09 05:52:50,2019-04-09 05:52:50,La chatterie des Ptits Chamours est heureuse de vous annoncer la naissance de 3 petites femelles sacré de birmanie dont deux sont encore disponibles à (... voir la suite),1,19,1,1948,2528,Portée de 3 petits sacré de birmanie,Cappelle-en-pévèle 59242,,,
30,2019-04-04 01:53:04,2019-04-04 01:53:04,Voici R'LING ( Petit Mâle de couleur Sorrel (cinamon ticked tabby) 3e chaton d'une portée de 3 chatons - né le 25 janvier 2020 est un chaton très jou (... voir la suite),1,38,1,174,6479,R'ling des zamours de som,Dourdan 91410,,,
32,2019-12-17 01:59:16,2019-12-17 01:59:16,"Disponible à la réservation : 1 petite chatonne femelle bicolore noir et blanc arlequin ( avec plus de blanc que de noir ), couleur rare. Le papa est (... voir la suite)",1,9,1,1620,5672,Femelle devon rex arlequin,Villeneuve-sur-yonne 89500,,,
35,2019-10-12 22:42:36,2019-10-12 22:42:36,"l'elevage De L'Arche D'Isid'Or - No Siret : 82804101200018, situé de Lisieux 14100, est fier de vous annoncer la naissance de 4 chatons Maine Coon LOO (... voir la suite)",1,6,1,1595,5252,4 chatons maine coon loof à reserver,Prêtreville 14140,,,
36,2019-11-20 00:51:22,2019-11-20 00:51:22,"Nés le 20 mars, 4 chiots de race Hovawart noir et feu à réserver. Ils sont inscrits au Lof et seront primo-vaccinés et identifiés par puce électroniq (... voir la suite)",1,25,1,1972,7199,Chiots hovawart à réserver.,a Bazoche-gouet 28330,,,
