postId,title,text,authorRegion,time,price,authorPersonId
0,Bébés picards à réserver,"Les bébés de Yoko de la Jassette du cap del mas et Massaî des Lumières d'Automne,sont nés le 31 mars, tout le monde se porte bien, Yoko est toujours u (... voir la suite)",ondamente 12540,2019-08-01 14:28:03,25,0
1,Magnifiques chatons british shorthair,"Nés le 5 mars 6 chatons bleus seront disponibles début juin. Papa triple champion Mâles 1100€ femelles 1300€ OBLIGATOIREMENT accueillis par des personnes responsables qui s engageront à leur donner tout l amour et les soins qui leur seront nécessaires.

Pas de vente aux éleveurs .Stérilisation obligatoire!
 Pucés,  vaccinés( primo + rappel) vermifugés inscrits au LOOF, Ils partiront avec un certificat de vente et un certificat de bonne santé établit par un vétérinaire.
Nous sommes passionnés par le British shorthair depuis plus de 20 ans. Notre élevage familial: Chatterie of blue shadow, situé en Charente maritime, fait naître peu de portées dans l année.Nos chats vivent à la maison, pas de cages ni pièce réservée...Les parents sont testés FIV/FELV.les chatons vivent une vie de famille et quittent la maison vers 12 semaines ils sont propres et ont reçu tous les soins et l amour dont ils ont besoin. Chaque chaton à son caractère mais ils sont généralement joueurs et câlins. Ils sont pucés  vaccinés ils partent avec un kit chaton .Nous assurons un suivi durant toute la vie de nos bébés.Merci de nous contacter pour connaître les disponibilités; LOOF ou non
Nous répondons à tous les messages (sérieux...)envoie de photos sur demande. Visites bienvenues
N° SIRET 328.996.871
N°Certificat de capacité17-049",Rioux 17460,2019-01-06 02:28:08,41,0
5,Chatons maine coon,"Chatterie du flocon du maine Jolis chatons Maine Coon nés le 14/03/2020 Élevés en Famille, ce sont des chatons équilibrés et choyés . * Un c (... voir la suite)",Doizieux 42740,2019-02-20 16:56:30,19,0
6,Bebes shih tzu lof,Bébés shih stzu LOF Excellentes origines. Pucé vacciné +passeport+cbs Me contacter pour plus de renseignements uniquement par téléphone. (... voir la suite),Charolles 71120,2019-03-13 20:13:39,11,0
10,Superbes chiots dobermann lof,Bienvenue au Manoir des Anges Nous sommes situés au cœur de La Sarthe à 30mn des 24h du Mans. Nous élevons des dobermanns depuis une 20e d'années. (... voir la suite),Pruillé-l'eguillé 72150,2019-07-11 07:03:44,28,0
12,Chaton maine coon loof,La petite femelle ROBERTA cherche sa nouvelle famille pour être aimée et chouchoutée.( Ne serra pas confiée pour la reproduction) .Une petite poupett (... voir la suite),Cauneille 40300,2019-08-14 08:18:15,8,0
15,Chiots lof à réserver,Rihana (originale avec ses 3 socquettes blanches) et Roméo sont disponibles à la réservation parents 24 cm (nains) Elevés en famille et habitués aux (... voir la suite),Arbigny-sous-varennes 52500,2019-06-14 14:43:23,37,0
17,Chaton british longhair,Sur une portée de 2 chatons British longhair reste disponible un petit mâle red tabby. Il aura bien sûr un pedigree LOOF. Il sera vacciné typhus (... voir la suite),Colombes 92700,2019-01-31 08:08:05,10,0
20,Splendides chiots jack russell inscrits au lof,"A réserver splendides chiots Jack Russell inscrits au lof nés le 16 Mars 2020 Ils seront pucés, vaccinés, vermifugés, inscrits au Lof et disponibles (... voir la suite)",Saint-vincent-sur-jabron 04200,2019-04-08 21:53:28,34,0
21,"Dernière femelle maine coon loof , paiement 4x/livraison","Disponible Femelle Maine Coon Bleue Tortie LOOF née le 30.01.2020 Livraison possible UNIQUEMENT Départements 32 , 31 , 81 , 65 , 47 , 19 et 33 le (... voir la suite)",Callian 32190,2019-02-03 11:04:16,11,0
